date,type,rating,prediction,confidence,returns,pnl,fold
2021-01-01,NFP,-5.0,1,0.6264009,5.585912543567425,-5.585912543567425,1
2021-05-01,NFP,3.0,1,0.8152672,-1.7416673922827322,1.7416673922827322,1
2021-06-01,NFP,5.0,1,0.649141,0.7302965875117013,-0.7302965875117013,1
2021-07-01,NFP,5.0,1,0.649141,-3.455602632903781,3.455602632903781,1
2021-10-01,NFP,4.0,1,0.86971396,2.3268847315815697,-2.3268847315815697,1
2022-04-01,NFP,-4.0,0,0.75600237,5.680716673533797,5.680716673533797,1
2022-09-01,NFP,-4.0,1,0.92225164,4.032840108970705,-4.032840108970705,1
2022-11-01,NFP,-3.0,0,0.69517463,1.9318290534980793,1.9318290534980793,1
2022-12-01,NFP,-5.0,1,0.92015696,-0.03423916693261637,0.03423916693261637,2
2023-01-01,NFP,4.0,1,0.91266453,-3.604461398216099,3.604461398216099,2
2024-09-01,NFP,5.0,0,0.88180697,-3.54422200587847,-3.54422200587847,2
2015-11-01,CPI,5.0,0,0.9458694,1.4572037852396553,1.4572037852396553,2
2016-03-01,CPI,5.0,0,0.9507454,-1.4420566107359678,-1.4420566107359678,2
2018-05-01,CPI,5.0,0,0.87066627,-0.49843089615927044,-0.49843089615927044,2
2018-11-01,CPI,-4.0,1,0.964588,1.797617909254219,-1.797617909254219,3
2020-02-01,CPI,4.0,1,0.8767477,5.024028300251497,-5.024028300251497,3
2020-07-01,CPI,-5.0,0,0.60072875,0.5642675591731834,0.5642675591731834,3
2020-08-01,CPI,5.0,0,0.9290716,-0.2724528988622106,-0.2724528988622106,3
2021-05-01,CPI,5.0,0,0.70187175,-1.7416673922827322,-1.7416673922827322,3
2021-06-01,CPI,5.0,1,0.7773637,0.7302965875117013,-0.7302965875117013,3
2021-07-01,CPI,5.0,0,0.85250175,-3.455602632903781,-3.455602632903781,3
2021-08-01,CPI,5.0,0,0.81867874,-0.6444263012923206,-0.6444263012923206,3
2021-09-01,CPI,4.0,0,0.69613826,0.8069154108007706,0.8069154108007706,3
2021-10-01,CPI,5.0,0,0.63917816,2.3268847315815697,2.3268847315815697,4
2021-12-01,CPI,5.0,0,0.6009381,-2.6658361198595464,-2.6658361198595464,4
2022-01-01,CPI,5.0,0,0.6008072,1.9144251254645668,1.9144251254645668,4
2022-09-01,CPI,-2.0,1,0.94050515,4.032840108970705,-4.032840108970705,4
2022-10-01,CPI,-3.0,1,0.88916063,2.661471100985553,-2.661471100985553,4
2022-11-01,CPI,-4.0,1,0.87315845,1.9318290534980793,-1.9318290534980793,4
2022-12-01,CPI,-5.0,1,0.64640236,-0.03423916693261637,0.03423916693261637,4
2023-03-01,CPI,-5.0,0,0.77788675,-3.0502970806752834,-3.0502970806752834,4
2023-06-01,CPI,-5.0,0,0.888178,2.510184318278372,2.510184318278372,4
2023-10-01,CPI,-4.0,1,0.68373954,1.480384754939982,-1.480384754939982,4
2023-11-01,CPI,-4.0,0,0.8905424,-5.661715143077136,-5.661715143077136,4
2024-11-01,CPI,-2.0,1,0.6356052,-3.9884282630465417,3.9884282630465417,4
