Instrument,Avg_PnL,Total_PnL,Accuracy
IEF,0.17533426368408603,12.500479271930303,69.78354978354979
TMF,1.984165336054255,102.09061113987977,77.86868686868686
TBT,-0.5766710725091422,-23.260044190885473,59.02777777777778
