window,train_sharpe,test_sharpe_filtered,test_sharpe_unfiltered,test_events_total,test_events_traded,test_events_skipped,avg_vix_traded,avg_vix_skipped,improvement
2010-2014 → 2015-2016,0.7566206082350596,0.3290054417707824,0.670289091978722,24,10,13,19.238182067871094,13.613846118633564,-0.3412836502079396
2011-2015 → 2016-2017,0.8565335756024771,-0.20979321143659513,-0.7768751889551355,24,4,19,18.93400001525879,12.08263161307887,0.5670819775185404
2012-2016 → 2017-2018,0.8653498478947269,1.6588548427623226,0.6051853394819317,24,7,17,18.29142883845738,11.412353010738597,1.0536695032803909
2013-2017 → 2018-2019,0.3371836987564526,0.518742930280169,1.2458398060412985,24,13,11,18.74461548145001,12.999090888283469,-0.7270968757611295
2014-2018 → 2019-2020,0.5481314714473333,-0.023065028053173228,0.06626951780005856,24,17,7,26.188823475557214,13.650000027247838,-0.08933454585323179
2015-2019 → 2020-2021,0.5418102393974314,0.3853706937216363,0.3047192866402774,24,23,1,25.12086942921514,12.470000267028809,0.08065140708135887
2016-2020 → 2021-2022,0.21398899205093921,1.173600275757463,1.173600275757463,24,24,0,22.71791656812032,0.0,0.0
2017-2021 → 2022-2023,0.36795410647800936,1.1135683773510254,1.0193362056163684,24,20,4,22.19650001525879,13.815000057220459,0.09423217173465703
2018-2022 → 2023-2024,0.8036928586568565,1.142111915317272,1.2674962446684073,23,12,11,19.324999809265137,13.657272685657848,-0.1253843293511352
