fold,all_trades,high_conf_trades,accuracy,avg_pnl,total_pnl
1,12,11,0.36363636363636365,0.0024838639987212626,0.027322503985933888
2,12,8,0.625,0.25194199055267913,2.015535924421433
3,12,12,0.6666666666666666,0.03677717030459123,0.4413260436550948
4,12,11,0.9090909090909091,0.5885526957687459,6.474079653456205
5,12,12,0.6666666666666666,0.3759534534542779,4.511441441451335
