trades,avg_return_gross,avg_return_net,sharpe_gross,sharpe_net,win_rate_gross,win_rate_net,max_dd,stopped_trades,best_stop,split,train_period,test_period
41,2.7059586941816907,2.5159586941816903,8.441263135869363,7.848556381230523,78.04878048780488,78.04878048780488,-6.569999999999993,8,2.0,Split 1,Until 2019-12-31,From 2020-01-01
31,2.599058294551678,2.4090582945516785,7.671868719079312,7.111029025840918,74.19354838709677,74.19354838709677,-6.569999999999993,7,2.0,Split 2,Until 2020-12-31,From 2021-01-01
21,2.627839821626927,2.4378398216269277,7.014809994023359,6.507620062622109,71.42857142857143,71.42857142857143,-6.570000000000002,6,2.0,Split 3,Until 2021-12-31,From 2022-01-01
