label,trades,sharpe,avg_ret,win_rate,total_ret,max_dd,avg_mult,avg_winner,avg_loser,accounting,regime
Cash Accounting,30,0.9172496678504101,2.8876976775405128,83.33333333333334,86.63093032621535,-10.284275572236197,1.4777777777777776,4.384120910499996,-4.594418487256904,cash,
MTM Accounting,30,-0.639753320601973,2.8876976775405128,83.33333333333334,-66.82316203932018,-84.27181518502383,1.4777777777777776,4.384120910499996,-4.594418487256904,mtm,
High VIX Regime,30,0.9172496678504101,2.8876976775405128,83.33333333333334,86.63093032621535,-10.284275572236197,1.4777777777777776,4.384120910499996,-4.594418487256904,,high_vix
Pre-2020,4,0.8640465240168018,1.851040541947659,75.0,7.404162167790636,-0.2319631826002695,1.5000000000000002,2.5453751167969685,-0.2319631826002697,,pre_2020
Post-2020,26,1.3624785667061554,3.0471833907086436,84.61538461538461,79.22676815842473,-10.284275572236197,1.4743589743589745,4.634858973277681,-5.685032313421063,,post_2020
