label,trades,sharpe,avg_ret,win_rate,total_ret,max_dd,avg_mult,avg_winner,avg_loser
VIX P80,22,0.9441228086967336,3.8356986279232874,86.36363636363636,84.38536981431233,-7.644138763822056,1.4848484848484846,4.999289796667489,-3.5337121074566533
VIX P70 + Rating >=3,28,0.94126717702544,3.1572965534379938,85.71428571428571,88.40430349626381,-7.644138763822063,1.5357142857142858,4.527140064858362,-5.061764515084222
VIX > 20,30,0.9172496678504101,2.8876976775405128,83.33333333333334,86.63093032621535,-10.284275572236197,1.4777777777777776,4.384120910499996,-4.594418487256904
VIX P70 + No Rating Filter,30,0.9172496678504101,2.8876976775405128,83.33333333333334,86.63093032621535,-10.284275572236197,1.4777777777777776,4.384120910499996,-4.594418487256904
VIX P70,30,0.9172496678504101,2.8876976775405128,83.33333333333334,86.63093032621535,-10.284275572236197,1.4777777777777776,4.384120910499996,-4.594418487256904
No VIX Filter,53,0.8906651660503908,2.7029312050560668,73.58490566037736,143.25535386797156,-11.702937831437765,1.408805031446541,5.379087716821555,-4.7520762205763685
VIX P60,43,0.8255857700003735,2.8709598721084957,76.74418604651163,123.4512745006653,-10.475245685462841,1.4186046511627908,5.2283099973241205,-4.90829554110307
VIX P70 + Rating >=4,25,0.8146642120186871,2.944957676172217,84.0,73.62394190430544,-7.644138763822056,1.6000000000000003,4.47004761736392,-5.061764515084222
