label,trades,sharpe,avg_ret,win_rate,total_ret,max_dd,avg_mult,avg_winner,avg_loser,year
Year 2015,2,4.280965320878483,2.3386890772497964,100.0,4.677378154499593,0.0,1.6666666666666667,2.3386890772497964,0.0,2015
Year 2018,1,9.165151389911681,2.958747195891313,100.0,2.958747195891313,0.0,1.0,2.958747195891313,0.0,2018
Year 2019,1,-9.16515138991168,-0.2319631826002697,0.0,-0.2319631826002697,-0.2319631826002697,1.6666666666666667,0.0,-0.2319631826002697,2019
Year 2020,10,1.7486727355601601,4.3450312113805705,90.0,43.4503121138057,-7.644138763822063,1.6333333333333333,5.677161208625307,-7.64413876382206,2020
Year 2021,7,1.993988868669692,4.343792102820599,85.71428571428571,30.406544719744197,0.0,1.4285714285714286,5.869709939561699,-4.811714917625998,2021
Year 2022,8,1.9311230009448395,1.6161440651454242,87.5,12.929152521163394,-2.725034375947631,1.3333333333333335,2.2363124138730037,-2.7250343759476316,2022
Year 2023,1,-11.224972160321826,-7.5592411962885615,0.0,-7.5592411962885615,-7.5592411962885615,1.3333333333333333,0.0,-7.5592411962885615,2023
