fold,train_size,test_size,accuracy,avg_pnl,total_pnl
1,24,22,0.5,-0.16028536717516487,-3.526278077853627
2,46,22,0.45454545454545453,0.03272718601644478,0.7199980923617852
3,68,22,0.6363636363636364,-0.05606492469251163,-1.233428343235256
4,90,22,0.6363636363636364,0.21231671144576988,4.670967651806937
5,112,22,0.45454545454545453,-0.11095199296671546,-2.44094384526774
