date,type,actual,consensus,surprise,surprise_pct,rating,vix,trend,1d,2d,3d,5d
2014-08-01,NFP,196000.0,252000.0,-56000.0,-22.22222222222222,-3.0,17.030000686645508,uptrend,-0.2618517970762234,0.06109845314889747,0.12223284656435311,0.8380191953369661
2015-01-01,NFP,204000.0,252500.0,-48500.0,-19.207920792079207,-3.0,19.200000762939453,uptrend,1.570864223458826,3.4009086170134295,3.1966779674399315,2.9453933945338013
2015-04-01,NFP,273000.0,226666.66666666666,46333.33333333334,20.44117647058824,3.0,15.109999656677246,downtrend,-1.0595369963854442,-1.6120916479448224,-0.7871134926481169,-2.04342886219559
2015-07-01,NFP,282000.0,224166.66666666666,57833.33333333334,25.799256505576214,3.0,16.09000015258789,downtrend,0.32870124159897596,2.188201189842871,3.148266074876961,1.9892508957804131
2015-09-01,NFP,150000.0,216333.33333333334,-66333.33333333334,-30.662557781201855,-4.0,31.399999618530273,uptrend,-0.86039560652192,-0.37690476493055713,0.5327172111507075,-0.47527551475950697
2015-10-01,NFP,304000.0,225333.33333333334,78666.66666666666,34.91124260355029,4.0,22.549999237060547,downtrend,0.6058068003551198,-0.759206030359048,-0.3311687929419258,-1.4941707566810962
2016-01-01,NFP,133000.0,228000.0,-95000.0,-41.66666666666667,-4.0,18.209999084472656,uptrend,-0.40347386315543465,0.9386426146916504,1.1197578029548112,0.46106280764647223
2016-05-01,NFP,45000.0,212666.66666666666,-167666.66666666666,-78.84012539184953,-5.0,15.699999809265137,uptrend,1.2595653307925123,1.815024670354122,2.495635819630768,2.378331025304584
2018-03-01,NFP,226000.0,189166.66666666666,36833.33333333334,19.471365638766525,3.0,22.469999313354492,downtrend,-0.812965234322258,-1.0811512510773182,-0.9889482596971269,-0.5280200561025745
2018-07-01,NFP,61000.0,239333.33333333334,-178333.33333333334,-74.5125348189415,-5.0,16.09000015258789,uptrend,0.5356357526239165,0.8240171659226492,1.1536332553320319,0.49442413411407393
2018-12-01,NFP,192000.0,146166.66666666666,45833.33333333334,31.356898517673898,4.0,18.06999969482422,downtrend,1.6741713229113977,1.9934305314226,2.183284847278276,2.5888776403256935
2019-02-01,NFP,6000.0,173166.66666666666,-167166.66666666666,-96.53512993262753,-5.0,16.139999389648438,uptrend,-0.44644235792403314,0.008270542338916961,0.05785585810480901,1.1490818370164435
2019-10-01,NFP,95000.0,178333.33333333334,-83333.33333333334,-46.728971962616825,-4.0,18.559999465942383,uptrend,0.24426308986660963,1.158715899623564,1.9056102450392787,1.333210252832696
2020-03-01,NFP,-1397000.0,186833.33333333334,-1583833.3333333333,-847.7252453166815,-5.0,40.11000061035156,uptrend,1.5524870405889661,0.47413274320007764,2.9751297105104912,11.27053793399506
2020-04-01,NFP,-20471000.0,-78333.33333333333,-20392666.666666668,-26033.191489361707,-5.0,57.060001373291016,uptrend,0.6345925172219837,0.8740415851284069,0.6106304717309455,-1.1673811540922343
2020-06-01,NFP,4631000.0,-3104666.6666666665,7735666.666666666,249.1625509984969,5.0,28.229999542236328,downtrend,-0.36355406263801815,-1.6884291754719671,-3.111874530408419,-3.4322965513722195
2020-07-01,NFP,1584000.0,-2354000.0,3938000.0,167.28971962616822,5.0,28.6200008392334,downtrend,0.10401820493113484,-0.30597888700957043,1.0953108252889026,2.294628947559597
2020-09-01,NFP,951000.0,-1912166.6666666667,2863166.666666667,149.73415845899066,5.0,26.1200008392334,downtrend,0.9519997073675748,1.238911906677175,-0.6835072864496968,-0.3416830901549921
2020-10-01,NFP,691000.0,-1520833.3333333333,2211833.333333333,145.43561643835613,5.0,26.700000762939453,downtrend,-0.3733930048658228,-2.3200266598972803,-1.7936372552922266,-1.9833954259220952
2021-03-01,NFP,824000.0,433833.3333333333,390166.6666666667,89.93469074145219,5.0,23.350000381469727,downtrend,0.007077555730427552,-1.0775547282957672,-1.715586982408328,-2.289783441826626
2021-08-01,NFP,487000.0,641000.0,-154000.0,-24.024960998439937,-3.0,18.239999771118164,uptrend,0.05308128285474564,0.25887172046606693,-0.25219724711171776,-2.2698334654832464
2021-09-01,NFP,466000.0,637333.3333333334,-171333.33333333337,-26.88284518828452,-3.0,16.110000610351562,uptrend,0.4365391805716578,-0.4768367349821857,-1.3163750048267593,0.5575377970576074
2021-10-01,NFP,857000.0,577666.6666666666,279333.3333333334,48.35545297172534,4.0,21.100000381469727,downtrend,-0.25453810769934415,-1.2178059848492377,-0.6604633993074092,-2.387309467525284
2021-12-01,NFP,575000.0,695666.6666666666,-120666.66666666663,-17.345471969333968,-3.0,31.1200008392334,uptrend,0.12469255284675115,1.3193934746981753,-0.07220430137724632,-2.5929012820819963
2022-01-01,NFP,225000.0,658833.3333333334,-433833.3333333334,-65.84872248924867,-5.0,17.219999313354492,uptrend,-0.41579271323496697,-0.9563323063473921,-0.699960545172876,-1.171164081795272
2022-02-01,NFP,869000.0,541166.6666666666,327833.3333333334,60.5789959963043,5.0,21.959999084472656,downtrend,0.33874131737623553,-0.44450387741769004,-1.9121637329795869,-2.504931847675611
2022-07-01,NFP,696000.0,428666.6666666667,267333.3333333333,62.363919129082426,5.0,26.700000762939453,downtrend,0.7857075047785356,-0.9065850087882099,-1.7785973660501782,-1.1915036291962313
2022-08-01,NFP,237000.0,507166.6666666667,-270166.6666666667,-53.26979953992771,-5.0,22.84000015258789,uptrend,-2.1159735016537766,-0.5748284671920791,-0.6081467561819467,-1.4078934251430912
2022-10-01,NFP,400000.0,361166.6666666667,38833.333333333314,10.752191970466077,2.0,31.6200008392334,downtrend,-0.27933328026397786,-1.232820966065619,-1.7817581447614634,-4.247358745618988
2022-12-01,NFP,126000.0,386333.3333333333,-260333.3333333333,-67.38567730802416,-5.0,19.84000015258789,uptrend,1.2575776457059085,-0.16070129015725193,1.1251916999697706,3.2243311024836983
2023-04-01,NFP,216000.0,276333.3333333333,-60333.333333333314,-21.833534378769595,-3.0,18.700000762939453,uptrend,0.497188366587114,1.5478421931280069,1.8105056497632301,0.37524937558922766
2023-05-01,NFP,227000.0,245666.66666666666,-18666.666666666657,-7.598371777476251,-2.0,16.079999923706055,uptrend,2.491998156050598,3.0641017797252594,2.045970810241706,0.2812300935421529
2023-06-01,NFP,257000.0,234000.0,23000.0,9.82905982905983,2.0,15.649999618530273,downtrend,-1.09581774492608,-1.280100681727753,-0.6981914932065859,-1.0279313310281377
2024-08-01,NFP,71000.0,159000.0,-88000.0,-55.34591194968554,-5.0,18.59000015258789,uptrend,3.116147069605636,3.6617370702152154,1.342981678354765,0.010494550854330738
2024-10-01,NFP,44000.0,132833.33333333334,-88833.33333333334,-66.87578419071518,-5.0,19.260000228881836,uptrend,-0.8427349825122912,-1.7768333601484154,-2.9850625110703537,-3.553666720296831
2024-11-01,NFP,261000.0,120500.0,140500.0,116.597510373444,5.0,21.8799991607666,downtrend,1.5521944767044078,2.0916034819708713,-0.7045254393690068,1.8163772626319685
2015-07-01,CPI,0.22568611104094582,-0.03806994782651155,0.2637560588674574,692.8195963635657,5.0,16.09000015258789,downtrend,0.32870124159897596,2.188201189842871,3.148266074876961,1.9892508957804131
2015-09-01,CPI,0.008842961634170088,0.09258877729283281,-0.08374581565866272,-90.4492078924401,-5.0,31.399999618530273,uptrend,-0.86039560652192,-0.37690476493055713,0.5327172111507075,-0.47527551475950697
2015-10-01,CPI,0.12761656067050708,0.0977344849691734,0.02988207570133368,30.574751287387286,5.0,22.549999237060547,downtrend,0.6058068003551198,-0.759206030359048,-0.3311687929419258,-1.4941707566810962
2016-11-01,CPI,1.6843334719788938,1.2193352976578236,0.46499817432107027,38.135382057278925,5.0,18.559999465942383,downtrend,0.4350862386629738,-0.33582411116526206,0.5572527250466556,-0.7021972731703259
2018-03-01,CPI,2.3309497646499366,2.153089227751215,0.17786053689872183,8.260713704117482,3.0,22.469999313354492,downtrend,-0.812965234322258,-1.0811512510773182,-0.9889482596971269,-0.5280200561025745
2018-04-01,CPI,2.4709963021052994,2.1781533167976743,0.2928429853076251,13.444553376902022,4.0,19.969999313354492,downtrend,-0.7712327658935154,-0.9763586003921614,-1.7147777045845902,-0.4758558787612631
2019-01-01,CPI,1.4875893578291333,2.4118076167451576,-0.9242182589160244,-38.32056307058597,-5.0,25.420000076293945,uptrend,1.1379435458545906,-0.03279625789802419,-0.32748814402098236,-0.7449833774557846
2019-02-01,CPI,1.5188615351321877,2.184051712123025,-0.6651901769908375,-30.45670454131482,-5.0,16.139999389648438,uptrend,-0.44644235792403314,0.008270542338916961,0.05785585810480901,1.1490818370164435
2019-06-01,CPI,1.671194894390049,1.78141869569625,-0.11022380130620113,-6.187416892642481,-3.0,18.709999084472656,uptrend,-1.1400988106250625,-1.6988410249489339,-1.3817174369047749,-1.4648017554972326
2019-08-01,CPI,1.7376412106666406,1.782678023572563,-0.04503681290592243,-2.526357104894732,-2.0,17.8700008392334,uptrend,0.9241320759673788,2.6689404552616947,3.48957654775519,3.7483064537315385
2019-09-01,CPI,1.6844977040391562,1.8191413028283054,-0.13464359878914922,-7.4014920435159395,-3.0,18.979999542236328,uptrend,0.14939433028108864,-1.6643416006105103,-0.9646519270079857,-4.429089480774178
2019-10-01,CPI,1.7339736996186295,1.7860265282837648,-0.05205282866513539,-2.9144487968582515,-2.0,18.559999465942383,uptrend,0.24426308986660963,1.158715899623564,1.9056102450392787,1.333210252832696
2020-03-01,CPI,1.4940399642909163,2.128562320847978,-0.6345223565570617,-29.809902690764545,-5.0,40.11000061035156,uptrend,1.5524870405889661,0.47413274320007764,2.9751297105104912,11.27053793399506
2020-04-01,CPI,0.3130472940411133,2.0968193642232715,-1.7837720701821582,-85.07037375834823,-5.0,57.060001373291016,uptrend,0.6345925172219837,0.8740415851284069,0.6106304717309455,-1.1673811540922343
2020-05-01,CPI,0.1982013035848551,1.859998296627019,-1.6617969930421639,-89.34400617762502,-5.0,37.189998626708984,uptrend,-0.4703769154514279,-1.107448285298511,-2.7032122650176893,-2.36376928432039
