date,type,actual,consensus,surprise,surprise_pct,rating,vix,trend,1d,2d,3d,5d
2014-08-01,NFP,196000.0,252000.0,-56000.0,-22.22222222222222,-3.0,17.030000686645508,uptrend,0.057958226783747596,0.106255187308151,0.19309413437443862,0.5600723198724376
2015-01-01,NFP,204000.0,252500.0,-48500.0,-19.207920792079207,-3.0,19.200000762939453,uptrend,0.6101528634283631,1.2859986530782042,1.2672537655768887,1.3517548150647465
2015-04-01,NFP,273000.0,226666.66666666666,46333.33333333334,20.44117647058824,3.0,15.109999656677246,downtrend,-0.28515418972486595,-0.15641465685841013,-0.07363591234014577,-0.5703083794497319
2015-07-01,NFP,282000.0,224166.66666666666,57833.33333333334,25.799256505576214,3.0,16.09000015258789,downtrend,0.35473043064669113,1.0642369904908628,1.3327068366677128,1.025868487248185
2015-09-01,NFP,150000.0,216333.33333333334,-66333.33333333334,-30.662557781201855,-4.0,31.399999618530273,uptrend,-0.2718895400969587,-0.02813418420086489,0.28122602681086195,-0.12189104124009924
2016-05-01,NFP,45000.0,212666.66666666666,-167666.66666666666,-78.84012539184953,-5.0,15.699999809265137,uptrend,0.5935368356779167,0.7761417910889228,1.0500192172875513,1.0044344223243926
2018-03-01,NFP,226000.0,189166.66666666666,36833.33333333334,19.471365638766525,3.0,22.469999313354492,downtrend,-0.37096734563066885,-0.49781350049350254,-0.5075797673818927,-0.3025946070514576
2018-07-01,NFP,61000.0,239333.33333333334,-178333.33333333334,-74.5125348189415,-5.0,16.09000015258789,uptrend,0.2542629471105545,0.26402023587583934,0.3520387440234401,0.019514577530569604
2019-02-01,NFP,6000.0,173166.66666666666,-167166.66666666666,-96.53512993262753,-5.0,16.139999389648438,uptrend,-0.2209421409530057,-0.048003047595619595,0.02882745296000287,0.48998982711215544
2019-10-01,NFP,95000.0,178333.33333333334,-83333.33333333334,-46.728971962616825,-4.0,18.559999465942383,uptrend,0.34634808971248127,0.8702900336489114,1.065640938888899,0.9413026750040249
2020-03-01,NFP,-1397000.0,186833.33333333334,-1583833.3333333333,-847.7252453166815,-5.0,40.11000061035156,uptrend,1.1620099718760262,0.9398451515886952,1.8369883197472174,3.7935763963243727
2020-04-01,NFP,-20471000.0,-78333.33333333333,-20392666.666666668,-26033.191489361707,-5.0,57.060001373291016,uptrend,0.0163669390684686,0.09025360907416208,-0.3611856684403463,-0.9275359837215308
2020-07-01,NFP,1584000.0,-2354000.0,3938000.0,167.28971962616822,5.0,28.6200008392334,downtrend,0.12335003379062359,-0.02468711593463154,0.2961170723917773,0.4606075468577572
2020-09-01,NFP,951000.0,-1912166.6666666667,2863166.666666667,149.73415845899066,5.0,26.1200008392334,downtrend,0.13955764056594752,0.27088260920152746,-0.287319540044384,-0.12313491623203035
2020-10-01,NFP,691000.0,-1520833.3333333333,2211833.333333333,145.43561643835613,5.0,26.700000762939453,downtrend,-0.09848057227208212,-0.7306034554668964,-0.5007089649906251,-0.6074672439574338
2021-03-01,NFP,824000.0,433833.3333333333,390166.6666666667,89.93469074145219,5.0,23.350000381469727,downtrend,0.181713545305118,-0.3548113621690451,-0.8480711398086562,-1.3759281023056211
2021-05-01,NFP,421000.0,358333.3333333333,62666.666666666686,17.488372093023262,3.0,18.610000610351562,downtrend,0.13143640197583897,0.25412848445853764,0.29791798431892275,0.13143640197583897
2021-08-01,NFP,487000.0,641000.0,-154000.0,-24.024960998439937,-3.0,18.239999771118164,uptrend,0.025379782261830196,0.0,-0.36394171434829625,-1.1595433471773138
2021-09-01,NFP,466000.0,637333.3333333334,-171333.33333333337,-26.88284518828452,-3.0,16.110000610351562,uptrend,0.11951300265552688,-0.11952766233079895,-0.5122017241683877,0.04268897439225934
