metric,stopped,non_stopped
count,41.0,46.0
avg_pnl,-2.3721363629197136,5.253252301286043
median_pnl,-2.3587255881373443,3.4313049045014647
std,0.018855309523716408,6.186389129091658
min,-2.398000000000011,-0.4711331262077009
max,-2.358725588137322,40.60246512408842
win_rate,0.0,97.82608695652173
