label,trades,wins,losses,win_rate,sharpe,avg_return,total_return,max_dd,avg_winner,avg_loser,stopped_count,stopped_rate
CPI 5d no-stop,42,22,20,52.38095238095239,0.4049964985854479,1.1650259106817558,48.93108824863374,-45.419018978122395,7.688672450586353,-6.010985283213301,0,0.0
CPI 5d OHLC2%,42,19,23,45.23809523809524,1.0109902044527581,2.1714462963508168,91.2007444467343,-16.55035352882409,7.673942246350376,-2.3740938362575146,23,54.761904761904766
CPI 5d OHLC3%,42,20,22,47.61904761904761,0.8239083477059947,1.8520165816985465,77.78469643133896,-20.27654411739458,7.420226139053216,-3.2099921068056982,21,50.0
CPI 2d OHLC2%,42,27,15,64.28571428571429,1.5215176193026039,2.228480406877234,93.59617708884382,-10.092880936924587,4.787110436812688,-2.377053647006583,15,35.714285714285715
