trades,avg_return,sharpe,win_rate,max_dd,stop_level,stopped_trades
32,2.1372074972285886,6.7665527526339515,81.25,-5.014042006088562,,0
32,2.439661349678936,9.084615409876678,81.25,-2.0,2.0,4
32,2.377161349678936,8.572881559416933,81.25,-2.5,2.5,4
32,2.314661349678936,8.077857226754775,81.25,-3.0,3.0,4
32,2.2078237010357613,7.273825237602965,81.25,-4.0,4.0,3
32,2.137646309918856,6.769685202304374,81.25,-5.0,5.0,1
