date,type,rating,prediction,confidence,returns,pnl,fold
2018-03-01,CPI,3.0,0,0.91353774,-3.148737085246562,3.148737085246562,1
2018-03-01,PMI,5.0,0,0.91353774,-3.148737085246562,3.148737085246562,1
2018-03-01,NFP,3.0,0,0.91353774,-3.148737085246562,3.148737085246562,1
2018-04-14,CLAIMS,-3.0,1,0.9341498,-1.7259249831478418,-1.7259249831478418,1
2018-07-01,GDP,-5.0,0,0.7366916,2.4314935673757643,-2.4314935673757643,1
2018-07-01,PMI,-5.0,0,0.7366916,2.4314935673757643,-2.4314935673757643,1
2018-07-01,NFP,-5.0,0,0.7366916,2.4314935673757643,-2.4314935673757643,1
2018-10-20,CLAIMS,5.0,0,0.9262328,3.233987263998419,-3.233987263998419,1
2018-11-01,RETAIL,5.0,0,0.6136161,-2.6599341534133134,2.6599341534133134,1
2018-11-03,CLAIMS,4.0,0,0.7268715,0.13012587126443195,-0.13012587126443195,1
2018-11-10,CLAIMS,5.0,1,0.96764654,-0.06228410681028562,-0.06228410681028562,1
2018-11-17,CLAIMS,3.0,1,0.7781176,0.0,0.0,1
2018-11-24,CLAIMS,5.0,0,0.8565746,-1.2844146376672383,1.2844146376672383,1
2018-12-01,NFP,4.0,1,0.7761328,5.9904838538240766,5.9904838538240766,1
2018-12-08,CLAIMS,-5.0,1,0.7192144,-1.4835220447093649,-1.4835220447093649,1
2019-01-01,CPI,-5.0,1,0.89820963,-0.05080403596293517,-0.05080403596293517,1
2019-01-01,GDP,-4.0,1,0.89820963,-0.05080403596293517,-0.05080403596293517,1
2019-01-05,CLAIMS,-5.0,1,0.8326683,-1.3881946067820705,-1.3881946067820705,1
2019-01-12,CLAIMS,-5.0,1,0.777649,-0.9028061553669349,-0.9028061553669349,1
2019-02-01,PMI,-5.0,1,0.88883156,-0.05231112501531936,-0.05231112501531936,1
2019-02-01,NFP,-5.0,1,0.88883156,-0.05231112501531936,-0.05231112501531936,1
2019-02-01,CPI,-5.0,1,0.88883156,-0.05231112501531936,-0.05231112501531936,1
2019-02-02,CLAIMS,-5.0,1,0.96419275,1.4838575737868973,1.4838575737868973,1
2019-02-09,CLAIMS,-5.0,0,0.64093107,-1.842368033516025,1.842368033516025,1
2019-03-23,CLAIMS,-5.0,0,0.6476362,2.2402257591981245,-2.2402257591981245,1
2019-05-11,CLAIMS,-5.0,1,0.6784628,0.8431004393331057,0.8431004393331057,1
2019-05-18,CLAIMS,-3.0,0,0.73938817,1.0788095759117093,-1.0788095759117093,1
2019-06-01,RETAIL,-5.0,0,0.6790352,-5.0140214040445015,5.0140214040445015,1
2019-06-01,CPI,-3.0,0,0.6790352,-5.0140214040445015,5.0140214040445015,1
2019-06-15,CLAIMS,-5.0,1,0.8439466,1.9215023448612658,1.9215023448612658,1
2019-06-29,CLAIMS,-5.0,0,0.71605515,4.402260009538584,-4.402260009538584,1
2019-08-01,CPI,-2.0,0,0.76872313,8.096885012975076,-8.096885012975076,1
2019-08-17,CLAIMS,-5.0,0,0.7014214,0.914801930553825,-0.914801930553825,1
