Date,Open,High,Low,Close,Volume
2018-01-02,185.08007873763427,185.4181193853781,178.74171987675638,180.68548583984375,91840
2018-01-03,182.7137616528741,183.6433928085238,180.6854919074514,182.88278198242188,27960
2018-01-04,181.19255596025215,183.47437558172135,180.0094007379846,183.13632202148438,22600
2018-01-05,182.3756943345124,183.55884936382063,180.17839168531407,181.69960021972656,64490
2018-01-08,183.05182836288893,183.05182836288893,179.24881264533937,181.19256591796875,22940
2018-01-09,177.47403555542883,177.72757247102123,173.24846328029957,173.6710205078125,76380
2018-01-10,169.0229182392295,173.84006882996252,168.43134060447727,173.3330078125,79290
2018-01-11,172.31885137496576,176.54442411977047,171.13569616459029,175.44578552246094,59130
2018-01-12,174.26259408186792,177.2204946071508,173.75553315764458,176.20635986328125,53730
2018-01-16,178.65717502191674,179.41778570222618,176.37536877183263,178.0655975341797,93520
2018-01-17,178.82625291393205,180.85452277756642,176.4599294760751,177.89662170410156,38930
2018-01-18,173.7555300701924,175.02320170135988,171.98078462838885,172.91041564941406,106920
2018-01-19,171.304720190631,171.98081442346918,169.6990076711371,170.03704833984375,41830
2018-01-22,171.72727747422672,172.48788832195405,169.6990076711371,170.03704833984375,27270
2018-01-23,172.8258946053566,174.51612340345298,170.7131086077361,172.48785400390625,66950
2018-01-24,168.93839555827955,170.1215636807422,167.67072371698555,169.86802673339844,78140
2018-01-25,170.03703008716795,174.2626024695301,168.7693583724593,174.0935821533203,32530
2018-01-26,173.3330056505684,173.3330056505684,169.95254732794726,171.6427764892578,27580
2018-01-29,169.10742913320246,169.36095318564074,166.65658916442533,168.51583862304688,44640
2018-01-30,166.65655709802488,166.65655709802488,164.03671019532374,165.38888549804688,44350
2018-01-31,168.68485840456677,169.02289904448622,165.1353672082935,168.600341796875,39140
2018-02-01,168.09327897892393,168.4313325364645,160.65628124897697,160.90980529785156,103440
2018-02-02,158.96602250059408,159.30406309966585,155.16300773163653,156.43067932128906,89640
2018-02-05,154.7404682311806,165.05086242703163,152.79670232567358,161.07882690429688,159510
2018-02-06,159.811151727903,161.41686406567487,156.6842178668365,157.8673858642578,84250
2018-02-07,158.2899239719242,159.13503834134673,152.3741233859665,153.30374145507812,107490
2018-02-08,150.09231459359685,154.7404435457075,149.58524082247064,152.9656982421875,115810
2018-02-09,150.34583465606002,154.2333657453441,149.24719633969053,149.75425720214844,58510
2018-02-12,152.12060364076925,154.99398766248112,150.76841533912642,152.0360870361328,142550
2018-02-13,152.45866051151083,153.81084895721668,151.52904223858468,153.55731201171875,47690
2018-02-14,151.61352865074838,152.1206024838639,147.97954679663914,148.8246612548828,91140
2018-02-15,150.59940791186042,152.88121458263836,149.92331370318658,150.3458709716797,37010
2018-02-16,153.72635300931395,154.4869639480582,151.19100900435268,152.54319763183594,121220
2018-02-20,151.1909413308015,151.69801506299652,148.90913532676538,150.4303436279297,83100
2018-02-21,150.7684217965963,150.93745501310892,144.17653900616875,145.190673828125,129100
2018-02-22,146.88091477784732,148.40212358223596,145.95128359310291,146.28933715820312,40010
2018-02-23,149.16271450856695,150.76842695700503,148.65564063252106,150.17684936523438,117330
2018-02-26,152.37415359770128,153.05024780637515,149.8388099867426,150.3458709716797,67920
2018-02-27,151.69802274679049,152.20509650466974,146.79635703716923,149.75425720214844,136770
2018-02-28,151.61351901830045,152.79668692192547,150.6839009105477,152.45863342285156,106210
2018-03-01,152.28963169126135,156.68422455172038,151.10647653878453,155.6700897216797,87110
2018-03-02,153.81084412249413,153.97986444903836,150.9374598849689,151.52903747558594,72710
2018-03-05,153.55726662616382,153.55726662616382,148.99365453772603,150.7683868408203,64440
2018-03-06,151.78255337585537,152.9657083931026,150.7684057663034,150.93743896484375,155700
2018-03-07,152.62769423049554,152.88121828138551,150.09235055819778,150.51490783691406,22950
2018-03-08,151.52900641789216,154.0643494826798,151.35998612599067,152.9656982421875,25040
2018-03-09,150.34586840965326,151.27549954266615,148.74015597491197,150.00782775878906,50700
2018-03-12,151.36002891490415,152.796721145347,151.02197534011296,152.62770080566406,26400
2018-03-13,154.23340535914647,155.50107718401617,152.20513559752482,154.99400329589844,35650
2018-03-14,155.58556118566608,159.4730795631684,155.50104459022,158.9660186767578,52420
2018-03-15,158.54346149037136,159.72661645408468,157.61383052215234,158.9660186767578,25420
2018-03-16,157.2758300464044,157.86740767915043,156.1771785024902,157.0222930908203,46900
2018-03-19,155.07855897613192,157.78292363804698,154.65600159472555,155.8391571044922,139350
2018-03-20,153.80752563476562,154.82331300118466,153.29963840977467,153.80752563476562,51670
2018-03-21,152.4531185212673,155.58513436892073,150.4215312486343,154.0614471435547,40700
2018-03-22,159.22507991918482,160.83340884102017,156.43165497181653,158.8018341064453,48240
2018-03-23,156.6009619401738,158.9711412447181,156.34701185103725,158.2939453125,38090
2018-03-26,157.95534392818809,159.3097227915014,156.5162978185391,156.6009521484375,34220
2018-03-27,157.10888067141343,162.01852269778792,157.10888067141343,161.51063537597656,61220
2018-03-28,163.54223258379508,164.13477433082232,161.42600283266822,162.61109924316406,60500
2018-03-29,163.5422016561866,166.7588728528802,163.5422016561866,165.31983947753906,44650
2018-04-02,164.21938733669774,167.9439455942538,163.11894555991677,166.16632080078125,133460
2018-04-03,164.13472563606115,164.38867571414386,161.67990501961583,162.18780517578125,63360
2018-04-04,164.05009181995868,164.21938757437658,160.83342082026573,161.17201232910156,95220
2018-04-05,158.80184251149018,159.39438409740006,157.44745067246376,157.70140075683594,30840
2018-04-06,161.0873815018626,162.86500641478958,159.22510224794144,162.78036499023438,44250
2018-04-09,160.9180900076528,163.4575653076172,159.6483523576706,163.4575653076172,97390
2018-04-10,163.20357882432026,163.7114660212666,161.3412999359775,162.6956787109375,26780
2018-04-11,165.74306312198246,165.8277045348059,163.37288398349406,164.21937561035156,18850
2018-04-12,162.18779627214627,162.27243768256892,159.81761720088605,160.83340454101562,66830
2018-04-13,160.15624572322974,162.61107968920834,160.15624572322974,161.9338836669922,34310
2018-04-16,159.05574242910933,161.8491668701172,158.7171510068686,161.8491668701172,50130
2018-04-17,161.59528630201183,164.3887119436883,161.34134908440154,163.20362854003906,25670
2018-04-18,162.94968440535465,163.37293033887505,159.05581665039062,159.05581665039062,27670
2018-04-19,155.7544397637727,156.09303120538058,153.21496520240683,155.58514404296875,46950
2018-04-20,153.46896984464226,154.48475744730914,151.7759862013841,151.94528198242188,36080
2018-04-23,151.43735182260855,152.4531521411528,150.42156442050188,152.1145477294922,59900
2018-04-24,150.67554620687537,151.77598817257322,149.1518583248661,149.74440002441406,43190
2018-04-25,147.79747967442748,148.72861294379945,146.01984165294593,147.03562927246094,45030
2018-04-26,148.8978660559607,150.50620783267215,148.5592745853039,150.0829620361328,51880
2018-04-27,151.6912936011049,153.55357255579554,151.6912936011049,153.21498107910156,71400
2018-04-30,153.89216721172187,155.83910037061634,153.55356284001547,154.2307586669922,45520
2018-05-01,154.14613741958615,154.14613741958615,151.86059959009808,152.36849975585938,37230
2018-05-02,153.38429958668561,153.97684121707877,151.77597045898438,151.77597045898438,30130
2018-05-03,153.97680754270414,155.75444496155717,153.55356176835207,153.8921661376953,22040
2018-05-04,155.41585856400482,155.50049997176686,152.70707518689179,154.73866271972656,25560
2018-05-07,154.40009831469303,154.73870278271755,153.6382608654074,153.9768524169922,20540
2018-05-08,152.96110856995048,154.6540926446958,151.86066633807735,153.29971313476562,24110
2018-05-09,151.26807926615956,152.28386682399832,150.67553760045692,150.84483337402344,26670
