label,trades,wins,losses,win_rate,sharpe,avg_return,total_return,max_dd,avg_winner,avg_loser,stopped_count,stopped_rate
No stop (2d),87,49,38,56.32183908045977,0.15412534410830317,0.2669794437010212,23.22721160198885,-67.75508072368497,5.027335990986701,-5.871375051483144,0,0.0
OHLC stop 2% (2d),87,45,42,51.724137931034484,1.2151593654999129,1.6596783330971232,144.39201497944973,-20.17879913922071,5.380460866341459,-2.326874381093237,41,47.12643678160919
OHLC stop 3% (2d),87,46,41,52.87356321839081,0.927582174643108,1.32315233229412,115.11425290958846,-26.439405308543392,5.27026867280087,-3.1053196594939414,36,41.37931034482759
OHLC stop 5% (2d),87,49,38,56.32183908045977,0.6242201144692819,0.9515487814422089,82.78474398547218,-29.815345828420256,5.027335990986701,-4.3040715677072665,27,31.03448275862069
OHLC stop 7% (2d),87,49,38,56.32183908045977,0.2953541813800682,0.48328668396794167,42.045941505210926,-50.11610360440222,5.027335990986701,-5.376145317187827,22,25.287356321839084
Close stop 2% (2d),87,49,38,56.32183908045977,0.14669298613233314,0.2511257010982076,21.84793599554406,-73.66745052205025,5.027335990986701,-5.907671777968534,34,39.08045977011494
Close stop 3% (2d),87,49,38,56.32183908045977,0.15007488984623774,0.25703039805670114,22.361644630932997,-72.07391064761363,5.027335990986701,-5.894153129668825,32,36.7816091954023
Close stop 5% (2d),87,49,38,56.32183908045977,0.057015640838507985,0.0999342034405669,8.69427569932932,-80.68075099070441,5.027335990986701,-6.25382073313208,24,27.586206896551722
