event_date,entry_date,event_type,actual,consensus,surprise,surprise_pct,entry_open
2024-11-01,2024-11-04,NFP,12.0,100.0,-88.0,-88.0,46.28149619632034
2024-10-04,2024-10-07,NFP,254.0,140.0,114.0,81.42857142857143,50.67597586745183
2024-09-06,2024-09-09,NFP,142.0,165.0,-23.0,-13.939393939393941,58.1984309649418
2024-08-02,2024-08-05,NFP,114.0,175.0,-61.0,-34.85714285714286,59.16251588586434
2024-07-05,2024-07-08,NFP,206.0,190.0,16.0,8.421052631578947,47.64119192485506
2024-06-07,2024-06-10,NFP,272.0,180.0,92.0,51.11111111111111,45.57570338607362
2024-05-03,2024-05-06,NFP,175.0,240.0,-65.0,-27.083333333333332,44.259751496830354
2024-04-05,2024-04-08,NFP,303.0,200.0,103.0,51.5,46.52244033103426
2024-03-08,2024-03-11,NFP,275.0,200.0,75.0,37.5,54.36421803846819
2024-02-02,2024-02-05,NFP,353.0,180.0,173.0,96.11111111111111,52.520082491726086
2024-01-05,2024-01-08,NFP,216.0,170.0,46.0,27.058823529411764,55.71908936335049
2023-12-08,2023-12-11,NFP,199.0,180.0,19.0,10.555555555555555,52.29696129074132
2023-11-03,2023-11-06,NFP,150.0,180.0,-30.0,-16.666666666666664,42.11772794285153
2023-10-06,2023-10-09,NFP,336.0,170.0,166.0,97.6470588235294,40.53015117969509
2023-09-01,2023-09-05,NFP,187.0,170.0,17.0,10.0,54.99060257608553
2023-08-04,2023-08-07,NFP,187.0,200.0,-13.0,-6.5,58.693677769544365
2023-07-07,2023-07-10,NFP,209.0,225.0,-16.0,-7.111111111111111,64.3408494788766
2023-06-02,2023-06-05,NFP,339.0,190.0,149.0,78.42105263157895,69.93567341678434
2023-05-05,2023-05-08,NFP,253.0,180.0,73.0,40.55555555555556,74.99678909345268
2023-04-07,2023-04-10,NFP,236.0,239.0,-3.0,-1.2552301255230125,85.11907609128161
2023-03-10,2023-03-13,NFP,311.0,205.0,106.0,51.707317073170735,86.9837687592222
2023-02-03,2023-02-06,NFP,517.0,188.0,329.0,175.0,82.30918487888704
2023-01-06,2023-01-09,NFP,223.0,200.0,23.0,11.5,80.0177217462907
2022-12-02,2022-12-05,NFP,263.0,200.0,63.0,31.5,84.80344093121262
2022-11-04,2022-11-07,NFP,261.0,200.0,61.0,30.5,61.55087687255285
2022-10-07,2022-10-10,NFP,263.0,250.0,13.0,5.2,74.13460410918175
2022-09-02,2022-09-06,NFP,315.0,295.0,20.0,6.779661016949152,95.5838767080908
2022-08-05,2022-08-08,NFP,528.0,250.0,278.0,111.20000000000002,121.38788042668337
2022-07-08,2022-07-11,NFP,372.0,268.0,104.0,38.80597014925373,110.48478054304734
2022-06-03,2022-06-06,NFP,390.0,325.0,65.0,20.0,116.02784778225806
2022-05-06,2022-05-09,NFP,428.0,380.0,48.0,12.631578947368421,109.77322454498794
2022-04-01,2022-04-04,NFP,431.0,490.0,-59.0,-12.040816326530612,177.30506250680932
2022-03-04,2022-03-07,NFP,678.0,400.0,278.0,69.5,208.68375266198757
2022-02-04,2022-02-07,NFP,467.0,400.0,67.0,16.75,209.58950718745825
