event_date,entry_date,exit_date,event_type,surprise,surprise_pct,signal,entry_price,exit_price,pnl_gross,cost,pnl_net,stopped,holding_days,stop_type,stop_pct,config
2023-02-03,2023-02-06,2023-02-09,NFP,329.0,175.0,-1,82.30918487888704,84.05068830390688,-2.0719680708895405,0.3,-2.3719680708895403,False,2,none,0,No stop
2022-12-02,2022-12-05,2022-12-08,NFP,63.0,31.5,-1,84.80344093121262,91.36885745248145,-7.185617402169364,0.3,-7.485617402169364,False,2,none,0,No stop
2022-11-04,2022-11-07,2022-11-10,NFP,61.0,30.5,-1,61.55087687255285,65.28952143496609,-5.726255117580004,0.3,-6.026255117580003,False,2,none,0,No stop
2022-08-05,2022-08-08,2022-08-11,NFP,278.0,111.20000000000002,-1,121.38788042668337,118.7529724294852,2.2188143532682947,0.3,1.9188143532682946,False,2,none,0,No stop
2022-07-08,2022-07-11,2022-07-14,NFP,104.0,38.80597014925373,-1,110.48478054304734,114.21001714532352,-3.2617424420277485,0.3,-3.5617424420277484,False,2,none,0,No stop
2022-06-03,2022-06-06,2022-06-09,NFP,65.0,20.0,-1,116.02784778225806,111.76745417737177,3.8118373870493327,0.3,3.511837387049333,False,2,none,0,No stop
2022-05-06,2022-05-09,2022-05-12,NFP,48.0,12.631578947368421,-1,109.77322454498794,125.4550994121891,-12.499989988990057,0.3,-12.799989988990058,False,2,none,0,No stop
2022-04-01,2022-04-04,2022-04-07,NFP,-59.0,-12.040816326530612,1,177.30506250680932,154.28080152639126,-12.985676017871084,0.3,-13.285676017871085,False,2,none,0,No stop
2022-03-04,2022-03-07,2022-03-10,NFP,278.0,69.5,-1,208.68375266198757,189.66313026501393,10.02863464838757,0.3,9.728634648387569,False,2,none,0,No stop
2022-02-04,2022-02-07,2022-02-10,NFP,67.0,16.75,-1,209.58950718745825,203.7021412132853,2.8901836471167064,0.3,2.5901836471167066,False,2,none,0,No stop
2022-01-07,2022-01-10,2022-01-13,NFP,-201.0,-50.24999999999999,1,222.63223764919942,230.96507058629226,3.742868968609492,0.3,3.442868968609492,False,2,none,0,No stop
2021-12-03,2021-12-06,2021-12-09,NFP,-340.0,-61.81818181818181,1,288.36960999347036,261.74248862752506,-9.233678044835658,0.3,-9.533678044835659,False,2,none,0,No stop
2021-11-05,2021-11-08,2021-11-11,NFP,81.0,18.0,-1,261.7424708549223,258.84431319237547,1.1196528240482895,0.3,0.8196528240482894,False,2,none,0,No stop
2021-10-08,2021-10-11,2021-10-14,NFP,-306.0,-61.199999999999996,1,225.24344849413143,243.53827325723063,8.122245013299857,0.3,7.822245013299857,False,2,none,0,No stop
2021-09-03,2021-09-07,2021-09-10,NFP,-515.0,-68.66666666666667,1,254.4549464051453,262.96696716853535,3.345197601243366,0.3,3.045197601243366,False,2,none,0,No stop
2021-08-06,2021-08-09,2021-08-12,NFP,73.0,8.39080459770115,-1,259.1637555836103,248.38788159270374,4.3383251718279725,0.3,4.038325171827973,False,2,none,0,No stop
