label,trades,wins,losses,win_rate,sharpe,avg_return,total_return,max_dd,avg_winner,avg_loser,stopped_count,stopped_rate,year,period
Year 2020,15,6,9,40.0,0.3483290217270657,1.0920262724417962,16.380394086626943,-31.245603216388453,11.25524135672171,-5.683450450411479,0,0.0,2020.0,
Year 2021,20,10,10,50.0,-0.8355855179390799,-0.8992052880676867,-17.984105761353735,-25.28203938343358,3.0413974586125474,-4.839808034747921,0,0.0,2021.0,
Year 2022,20,13,7,65.0,0.49728565851795786,0.7877432492064631,15.754864984129263,-30.243011826151264,5.254129765956459,-7.506974567614959,0,0.0,2022.0,
Year 2023,14,8,6,57.14285714285714,-0.21040831984849112,-0.33481867838516716,-4.6874614973923405,-17.79103846812905,3.999870386407625,-6.114404098108889,0,0.0,2023.0,
Year 2024,18,12,6,66.66666666666666,0.5761111201660986,0.7646399883321513,13.763519789978723,-21.206067592087926,4.0076158985998,-5.721311832203146,0,0.0,2024.0,
Train (2020-2022),55,27,28,49.09090909090909,1.158542296072296,1.7656882969447927,97.1128563319636,-10.092880936924587,6.055949722465671,-2.3713495062360543,28,50.90909090909091,,train
Test (2023-2024),32,18,14,56.25,1.587419208799264,1.477473707733941,47.27915864748611,-11.857734173720676,4.367227582155142,-2.237924130807603,13,40.625,,test
