label,trades,wins,losses,win_rate,sharpe,avg_return,total_return,max_dd,avg_winner,avg_loser,stopped_count,stopped_rate
"Baseline (2d, no stop)",87,49,38,56.32183908045977,0.15412534410830317,0.2669794437010212,23.22721160198885,-67.75508072368497,5.027335990986701,-5.871375051483144,0,0.0
Tight thresholds (2d),96,53,43,55.208333333333336,0.13081623371095202,0.21091788453966218,20.248116915807568,-73.2716289555837,4.974149498862029,-5.660042012183255,0,0.0
Wide thresholds (2d),86,49,37,56.97674418604651,0.16785258164298525,0.2939718366363022,25.28157795072199,-65.70071437495184,5.027335990986701,-5.9745374488547665,0,0.0
