label,trades,wins,losses,win_rate,sharpe,avg_return,total_return,max_dd,avg_winner,avg_loser,stopped_count,stopped_rate
NFP only,45,22,23,48.888888888888886,-0.2079752224646265,-0.5793636127605738,-26.071362574225823,-67.75508072368497,5.322160782555156,-6.224299990888666,0,0.0
CPI only,42,27,15,64.28571428571429,0.6080861943239668,1.1737755756241588,49.29857417621467,-27.505951710006606,4.787108383042032,-5.33022347772801,0,0.0
