fold,trades,accuracy,avg_pnl,total_pnl
1,27,0.4444444444444444,-0.43226154768406794,-11.671061787469835
2,27,0.7407407407407407,2.2818050268182173,61.60873572409187
3,25,0.52,-0.4936278681976182,-12.340696704940456
4,23,0.6956521739130435,1.2109971885238533,27.852935336048624
5,23,0.6086956521739131,2.0084132841734976,46.19350553599045
