date,type,rating,surprise_pct,rsi_14,volatility_20,momentum_5d,momentum_20d,vix,vix_ma_20,vix_change_5d,vix_change_20d,vix_above_20,fed_funds_rate,fed_rate_change_3m,returns,target
2015-01-01,PMI,-5.0,-105.0,56.8507880325794,2.696502744020029,6.617075859270316,14.735296310489886,19.200000762939453,16.592500114440917,4.40000057220459,6.350000381469727,0,0.11,0.020000000000000004,10.39575849056974,1
2015-01-01,RETAIL,-5.0,-12921.611442335225,56.8507880325794,2.696502744020029,6.617075859270316,14.735296310489886,19.200000762939453,16.592500114440917,4.40000057220459,6.350000381469727,0,0.11,0.020000000000000004,10.39575849056974,1
2015-02-01,PMI,-5.0,-40.0,70.06264366011345,3.2231786900289516,7.762920111564098,31.008868576918935,20.969999313354492,19.119499969482423,4.309999465942383,1.769998550415039,1,0.11,0.020000000000000004,-6.018263884708132,0
2015-02-01,RETAIL,-5.0,-123.94101596643823,70.06264366011345,3.2231786900289516,7.762920111564098,31.008868576918935,20.969999313354492,19.119499969482423,4.309999465942383,1.769998550415039,1,0.11,0.020000000000000004,-6.018263884708132,0
2015-04-01,NFP,3.0,20.44117647058824,62.14908613969743,2.9915833698750496,-4.495636042629614,9.856540452521934,15.109999656677246,14.993000030517578,-0.3299999237060547,0.880000114440918,0,0.12,0.009999999999999995,-4.819251190530905,0
2015-07-01,PMI,5.0,134.14634146341467,55.334580139278245,3.5859611729439957,3.7484961865395183,-5.58458920940229,16.09000015258789,14.484500074386597,2.8299999237060547,2.4300003051757812,0,0.13,0.010000000000000009,6.490353376469793,1
2015-07-01,RETAIL,5.0,239.03098975861036,55.334580139278245,3.5859611729439957,3.7484961865395183,-5.58458920940229,16.09000015258789,14.484500074386597,2.8299999237060547,2.4300003051757812,0,0.13,0.010000000000000009,6.490353376469793,1
2015-07-01,CPI,5.0,692.8195963635657,55.334580139278245,3.5859611729439957,3.7484961865395183,-5.58458920940229,16.09000015258789,14.484500074386597,2.8299999237060547,2.4300003051757812,0,0.13,0.010000000000000009,6.490353376469793,1
2015-07-01,NFP,3.0,25.799256505576214,55.334580139278245,3.5859611729439957,3.7484961865395183,-5.58458920940229,16.09000015258789,14.484500074386597,2.8299999237060547,2.4300003051757812,0,0.13,0.010000000000000009,6.490353376469793,1
2015-09-01,RETAIL,-5.0,-191.2255979310521,35.35666034253144,2.8781910924811145,-11.51375032793368,-5.763763528638499,31.399999618530273,20.691500091552733,-4.620000839233398,18.399999618530273,1,0.14,0.010000000000000009,-1.0756859745424336,0
2015-09-01,CPI,-5.0,-90.4492078924401,35.35666034253144,2.8781910924811145,-11.51375032793368,-5.763763528638499,31.399999618530273,20.691500091552733,-4.620000839233398,18.399999618530273,1,0.14,0.010000000000000009,-1.0756859745424336,0
2015-09-01,NFP,-4.0,-30.662557781201855,35.35666034253144,2.8781910924811145,-11.51375032793368,-5.763763528638499,31.399999618530273,20.691500091552733,-4.620000839233398,18.399999618530273,1,0.14,0.010000000000000009,-1.0756859745424336,0
2015-10-01,PMI,4.0,19.999999999999996,58.89008965963788,3.102279867140326,4.217978122585153,3.110426673952116,22.549999237060547,23.848999977111816,-0.9200000762939453,-3.5400009155273438,1,0.12,-0.010000000000000009,-2.1107683381507925,0
2015-10-01,CPI,5.0,30.574751287387286,58.89008965963788,3.102279867140326,4.217978122585153,3.110426673952116,22.549999237060547,23.848999977111816,-0.9200000762939453,-3.5400009155273438,1,0.12,-0.010000000000000009,-2.1107683381507925,0
2015-10-01,NFP,4.0,34.91124260355029,58.89008965963788,3.102279867140326,4.217978122585153,3.110426673952116,22.549999237060547,23.848999977111816,-0.9200000762939453,-3.5400009155273438,1,0.12,-0.010000000000000009,-2.1107683381507925,0
2015-11-01,PMI,-5.0,-169.76744186046514,46.9925018469844,2.126767654957869,-1.4123478267390022,-4.635281232206523,15.069999694824219,16.294000005722047,0.6099996566772461,-5.870000839233398,0,0.12,-0.020000000000000018,-2.008811157278039,0
2016-01-01,RETAIL,-5.0,-619.2273748222445,43.92179509658988,3.014629398067802,-2.3032832165069017,-6.263439981414443,18.209999084472656,18.299000215530395,2.6399993896484375,2.299999237060547,0,0.34,0.22000000000000003,2.721403925175529,1
2016-01-01,NFP,-4.0,-41.66666666666667,43.92179509658988,3.014629398067802,-2.3032832165069017,-6.263439981414443,18.209999084472656,18.299000215530395,2.6399993896484375,2.299999237060547,0,0.34,0.22000000000000003,2.721403925175529,1
2016-01-01,GDP,-5.0,-31.86372731801208,43.92179509658988,3.014629398067802,-2.3032832165069017,-6.263439981414443,18.209999084472656,18.299000215530395,2.6399993896484375,2.299999237060547,0,0.34,0.22000000000000003,2.721403925175529,1
2016-02-01,PMI,-5.0,-429.0322580645161,65.18904116537368,2.3554717754278034,4.3956359967556535,18.363997069888892,19.979999542236328,23.53100004196167,-4.170000076293945,1.7700004577636719,0,0.38,0.26,2.9503080414367924,1
2016-03-01,PMI,-5.0,-857.8947368421053,46.61227249102277,2.7530516031863113,-0.262416601732407,8.707093449377034,17.700000762939453,22.402999877929688,-3.279998779296875,-2.279998779296875,0,0.36,0.12,2.2460701575082203,1
