date,type,actual,consensus,surprise,surprise_pct,rating,1d,2d,3d,5d
2020-04-01,NFP,-20471000.0,-78333.33333333333,-20392666.666666668,-26033.191489361707,-5,0.63453848299478,0.874030218076945,0.6105764554709048,-1.1674231254881848
2020-05-01,NFP,2616000.0,-3506000.0,6122000.0,174.6149458071877,5,-0.4703662255600123,-1.1074800869998769,-2.7031906977120292,-2.3638222320392517
2020-06-01,NFP,4631000.0,-3104666.6666666665,7735666.666666666,249.1625509984969,5,-0.3635760175757002,-1.6884729796264362,-3.1118961831006655,-3.43236215866497
2020-07-01,NFP,1584000.0,-2354000.0,3938000.0,167.28971962616822,5,0.10401825031616704,-0.3059681125596147,1.0953549350093188,2.2946953964724988
2020-08-01,NFP,1564000.0,-2129333.3333333335,3693333.3333333335,173.45021916092674,5,0.9532247149655788,0.07064765448844151,0.6295949656709815,-0.4883520426161571
2020-09-01,NFP,951000.0,-1912166.6666666667,2863166.666666667,149.73415845899066,5,0.9520320636497095,1.238868220462014,-0.6834637208052817,-0.34172643324459934
2020-10-01,NFP,691000.0,-1520833.3333333333,2211833.333333333,145.43561643835613,5,-0.37342555242705944,-2.3200479077553835,-1.7935933600860356,-1.9834167470059827
2020-11-01,NFP,270000.0,2006166.6666666667,-1736166.6666666667,-86.54149705076016,-5,-0.5801307728518407,1.5765401266631167,1.7530841481734176,-1.5890752670264698
2020-12-01,NFP,-183000.0,1615166.6666666667,-1798166.6666666667,-111.33010009286967,-5,-0.7936434674361894,0.006315375677045421,-1.4603264947908845,-0.10160887854012829
2021-01-01,NFP,365000.0,812833.3333333334,-447833.3333333334,-55.095345499282345,-5,-0.7426298590404117,-2.78024681475492,-3.6371144489143195,-4.106859820434992
2021-02-01,NFP,509000.0,609666.6666666666,-100666.66666666663,-16.511755057408415,-3,-0.6447214846948918,-1.5263440417180532,-1.7895260721536836,-2.1842409225943147
2021-03-01,NFP,824000.0,433833.3333333333,390166.6666666667,89.93469074145219,5,0.0070900814895885405,-1.077585909928657,-1.715561714211342,-2.2897706283478243
2021-04-01,NFP,365000.0,412666.6666666667,-47666.666666666686,-11.550888529886919,-3,-0.43639425700178786,0.23995460380734643,-0.45816456479146445,0.0
2021-05-01,NFP,421000.0,358333.3333333333,62666.666666666686,17.488372093023262,3,0.6785752083070448,0.844644616173663,1.0106440625877697,-0.5053506518880942
2021-06-01,NFP,796000.0,383500.0,412500.0,107.5619295958279,5,0.23151632819635526,-0.1447136182102754,1.2227489171303052,1.6207288716048711
2021-07-01,NFP,931000.0,546666.6666666666,384333.3333333334,70.3048780487805,5,0.6034304452226807,1.782581240186135,2.6843141845827536,1.636937173345996
2021-08-01,NFP,487000.0,641000.0,-154000.0,-24.024960998439937,-4,0.053127876036974955,0.25883677557939494,-0.25216230222504576,-2.2698334654832464
2021-09-01,NFP,466000.0,637333.3333333334,-171333.33333333337,-26.88284518828452,-4,0.43659794069303304,-0.47688371303438987,-1.316439444079887,0.5574788028791966
2021-10-01,NFP,857000.0,577666.6666666666,279333.3333333334,48.35545297172534,5,-0.25456219571937816,-1.2177337207891354,-0.6604754433174262,-2.3873275335403097
2021-11-01,NFP,637000.0,659666.6666666666,-22666.666666666628,-3.4360788276907472,0,0.443861707892744,-0.5940561906452715,0.4506670222940906,1.7618242636202102
2021-12-01,NFP,575000.0,695666.6666666666,-120666.66666666663,-17.345471969333968,-3,0.12472696990034796,1.3194052399999772,-0.07222724357523136,-2.5928789508766483
2022-01-01,NFP,225000.0,658833.3333333334,-433833.3333333334,-65.84872248924867,-5,-0.41582288266070555,-0.956350322558887,-0.6999544166252758,-1.1711820720381716
2022-02-01,NFP,869000.0,541166.6666666666,327833.3333333334,60.5789959963043,5,0.3386735721415268,-0.44453441325402804,-1.9122366553333006,-2.5049184792862182
2022-03-01,NFP,471000.0,604833.3333333334,-133833.33333333337,-22.127307798291547,-4,-3.418249842341587,-2.434516743492763,-0.75013088187453,-2.4981710392959555
2022-04-01,NFP,305000.0,605666.6666666666,-300666.6666666666,-49.642267473858006,-5,-0.694985938111948,-2.9385049067362576,-3.7241468891639817,-5.484195382505004
2022-05-01,NFP,241000.0,513666.6666666667,-272666.6666666667,-53.08241401687216,-5,0.6741393139370833,1.22884283713384,-1.544630387178975,-2.142016502011794
2022-06-01,NFP,461000.0,447666.6666666667,13333.333333333314,2.978406552494411,0,0.051633899419785086,-0.16348749087992237,-2.0048086395859994,-1.8241123310598233
2022-07-01,NFP,696000.0,428666.6666666667,267333.3333333333,62.363919129082426,5,0.7857075633721374,-0.9065627041005883,-1.7786124135515855,-1.1914813457562217
2022-08-01,NFP,237000.0,507166.6666666667,-270166.6666666667,-53.26979953992771,-5,-2.1159591372265334,-0.5748212849784576,-0.6081539383955682,-1.4078862429294698
2022-09-01,NFP,227000.0,401833.3333333333,-174833.3333333333,-43.50891746163417,-5,0.5656777425829124,-1.9251788490860358,-0.3740806353161635,-1.1770018789201735
2022-10-01,NFP,400000.0,361166.6666666667,38833.333333333314,10.752191970466077,3,-0.2793002845080263,-1.2327634079925114,-1.7817833853859524,-4.247310201370976
2022-11-01,NFP,297000.0,377000.0,-80000.0,-21.220159151193634,-4,-0.43403449024548246,-0.9713641814534374,-2.635084907328058,-2.552457594112766
2022-12-01,NFP,126000.0,386333.3333333333,-260333.3333333333,-67.38567730802416,-5,1.2575855188277223,-0.16074164546044772,1.125191518223134,3.224282124160908
2023-01-01,NFP,444000.0,330500.0,113500.0,34.34190620272315,5,1.369984500248923,1.7938089680874438,3.6664604064334383,2.493598878266823
2023-02-01,NFP,306000.0,288500.0,17500.0,6.065857885615252,2,0.1294250234020146,-1.3681075027467662,-2.0983367776751654,-2.4218914798597333
2023-03-01,NFP,85000.0,300000.0,-215000.0,-71.66666666666667,-5,-0.8867052911746744,1.51436340092763,0.7272968391141985,1.4446433202097855
2023-04-01,NFP,216000.0,276333.3333333333,-60333.333333333314,-21.833534378769595,-4,0.4971803546487617,1.5478419475456955,1.8104815633447215,0.375209650782207
2023-05-01,NFP,227000.0,245666.66666666666,-18666.666666666657,-7.598371777476251,-2,2.4919977483928832,3.064093099144818,2.0459377582113563,0.28118915086569257
2023-06-01,NFP,257000.0,234000.0,23000.0,9.82905982905983,2,-1.0958014280377497,-1.2800517310627622,-0.6982159685390813,-1.0279231725839726
2023-07-01,NFP,148000.0,255833.33333333334,-107833.33333333334,-42.14983713355049,-5,-0.9502503518273735,-2.351091252538327,-2.9388620108465244,-2.3119344809566087
2023-08-01,NFP,157000.0,206500.0,-49500.0,-23.97094430992736,-4,-1.0699261760913663,-3.3523807867371547,-1.640556880320249,-1.4774927409345981
