threshold,holding_period,n_trades,total_pnl,avg_pnl,median_pnl,std_pnl,win_rate,avg_win,avg_loss,profit_factor,sharpe,max_drawdown,score
1.0,1,221,6.366508172047691,0.028807729285283672,-0.04736350985007616,1.020599620782738,47.963800904977376,0.8663314448912464,-0.7431706520558645,1.0744929047902447,0.44807828245249653,-15.735580177503055,0.44807828245249653
1.0,2,221,14.506883970305214,0.06564200891540821,0.008262956566288565,1.5161564533254521,51.13122171945701,1.2614789683244219,-1.185557772688467,1.113299413001567,0.4859852827239124,-12.249610934093884,0.4859852827239124
1.0,3,221,10.742183066633107,0.048607163197434876,0.14045608440794707,1.6316670316515125,52.94117647058824,1.3009101349709358,-1.3602336800477537,1.0759356449628,0.2730287495529794,-20.194874615927446,0.2730287495529794
1.0,5,221,29.696602293650038,0.13437376603461557,0.010511436696413329,2.2788156696217574,50.678733031674206,1.8117756404792058,-1.6188997143927197,1.171436400121363,0.41862056569847816,-21.830999361463498,0.41862056569847816
1.5,1,221,6.366508172047691,0.028807729285283672,-0.04736350985007616,1.020599620782738,47.963800904977376,0.8663314448912464,-0.7431706520558645,1.0744929047902447,0.44807828245249653,-15.735580177503055,0.44807828245249653
1.5,2,221,14.506883970305214,0.06564200891540821,0.008262956566288565,1.5161564533254521,51.13122171945701,1.2614789683244219,-1.185557772688467,1.113299413001567,0.4859852827239124,-12.249610934093884,0.4859852827239124
1.5,3,221,10.742183066633107,0.048607163197434876,0.14045608440794707,1.6316670316515125,52.94117647058824,1.3009101349709358,-1.3602336800477537,1.0759356449628,0.2730287495529794,-20.194874615927446,0.2730287495529794
1.5,5,221,29.696602293650038,0.13437376603461557,0.010511436696413329,2.2788156696217574,50.678733031674206,1.8117756404792058,-1.6188997143927197,1.171436400121363,0.41862056569847816,-21.830999361463498,0.41862056569847816
2.0,1,211,2.199797985998284,0.010425582872029783,-0.051633899419785086,1.0242234968666297,47.39336492890995,0.8646796741448468,-0.759172697553932,1.0261047320823204,0.16158679997092754,-18.30784863657048,0.16158679997092754
2.0,2,211,9.013850685266803,0.04271967149415547,0.006315375677045421,1.5183643590554263,50.23696682464455,1.2581999022612036,-1.1843365614706742,1.0724846296190835,0.31581821606923294,-14.896055790376826,0.31581821606923294
2.0,3,211,6.53596295749294,0.030976127760630044,0.12217893616451585,1.6493081731020098,52.60663507109005,1.3072470867659634,-1.3856846367352906,1.0471677522014804,0.1721333253720928,-25.03736512035305,0.1721333253720928
2.0,5,211,23.926823791053202,0.11339726915191091,0.0,2.2935290054339132,49.763033175355446,1.8357794713627995,-1.6233655836734688,1.1417213816094969,0.35100526214347366,-25.56200316477289,0.35100526214347366
2.5,1,211,2.199797985998284,0.010425582872029783,-0.051633899419785086,1.0242234968666297,47.39336492890995,0.8646796741448468,-0.759172697553932,1.0261047320823204,0.16158679997092754,-18.30784863657048,0.16158679997092754
2.5,2,211,9.013850685266803,0.04271967149415547,0.006315375677045421,1.5183643590554263,50.23696682464455,1.2581999022612036,-1.1843365614706742,1.0724846296190835,0.31581821606923294,-14.896055790376826,0.31581821606923294
2.5,3,211,6.53596295749294,0.030976127760630044,0.12217893616451585,1.6493081731020098,52.60663507109005,1.3072470867659634,-1.3856846367352906,1.0471677522014804,0.1721333253720928,-25.03736512035305,0.1721333253720928
2.5,5,211,23.926823791053202,0.11339726915191091,0.0,2.2935290054339132,49.763033175355446,1.8357794713627995,-1.6233655836734688,1.1417213816094969,0.35100526214347366,-25.56200316477289,0.35100526214347366
3.0,1,170,2.640051388586002,0.015529714050505895,-0.08258715290359644,1.0714276307445756,45.88235294117647,0.9416215330727309,-0.7696350890335549,1.037285476135884,0.2300916653476487,-15.972486071487516,0.2300916653476487
3.0,2,170,10.092859061392035,0.05936975918465903,0.008262956566288565,1.5439312648578392,51.17647058823529,1.2766334510380186,-1.216557243119465,1.0999547799914708,0.43164090862177795,-14.157455381635412,0.43164090862177795
3.0,3,170,7.382864794171558,0.04342861643630328,0.1540795905008533,1.705015590586881,54.70588235294118,1.3329299671183186,-1.5140210668549619,1.063328947702451,0.23344645438469042,-22.60296066800094,0.23344645438469042
3.0,5,170,30.436037955972665,0.1790355173880745,0.010511436696413329,2.350930330892965,50.588235294117645,1.9123249058067253,-1.614745830643442,1.2270941008316316,0.5406481294445085,-26.3646518845891,0.5406481294445085
