label,trades,daily_sharpe,avg_return,win_rate,total_return,max_dd
BASELINE (Phase 3),53,0.3429210451211568,1.736237946035467,73.58490566037736,20.310254214421498,-16.53465313879657
VIX FILTER,20,1.5033882966146384,2.4072200380385556,85.0,24.171932197928736,-4.586483258293237
INVERTED,53,-0.5580832264112838,-2.1162379460354677,22.641509433962266,-34.370254214421514,-47.48490735321807
EXTENDED HOLD,53,0.3689456720896187,2.3141093298461075,73.58490566037736,28.512330478747963,-20.98204908043553
TIGHT STOP,53,1.0262990123746112,2.418562061108811,73.58490566037736,54.554646125089235,-3.5191779095601614
BEST YEARS,30,1.3922849062874432,2.1935800766799365,86.66666666666667,31.239805436768474,-4.586483258293237
