label,trades,sharpe,avg_ret,win_rate,total_ret,max_dd
Baseline,53,0.8415555510500646,1.736237946035467,73.58490566037736,92.02061113987979,-10.516982461137857
VIX > 20,30,0.8852099314394131,1.8408985988379425,83.33333333333334,55.226957965138276,-9.756982461137873
Rating >= 3,47,0.8267101553355772,1.898926722038006,74.46808510638297,89.24955593578629,-10.520195730321152
Stop 1.5%,53,1.207231373426239,2.418562061108811,73.58490566037736,128.183789238767,-3.3799999999999955
Pos Sizing,53,0.9090778731739751,2.78060416103091,73.58490566037736,147.3720205346382,-11.386271164771102
VIX + Strong,28,0.9494101729496361,2.0673934900075346,85.71428571428571,57.88701772021096,-5.669430897216422
ULTIMATE,28,1.1379919890353274,3.7123594657381105,85.71428571428571,103.94606504066711,-2.6899999999999977
