Date,Event_Type,Actual,Consensus,Previous
2010-03-01,NFP,160.0,-97.0,
2010-04-01,NFP,255.0,160.0,-97.0
2010-05-01,NFP,523.0,255.0,160.0
2010-06-01,NFP,-134.0,523.0,255.0
2010-07-01,NFP,-94.0,-134.0,523.0
2010-08-01,NFP,1.0,-94.0,-134.0
2010-09-01,NFP,-74.0,1.0,-94.0
2010-10-01,NFP,279.0,-74.0,1.0
2010-11-01,NFP,128.0,279.0,-74.0
2010-12-01,NFP,81.0,128.0,279.0
2011-01-01,NFP,7.0,81.0,128.0
2011-02-01,NFP,219.0,7.0,81.0
2011-02-01,CPI,2.124898173333145,1.7007834915029774,1.7007834915029774
2011-03-01,CPI,2.619241510354109,2.124898173333145,2.124898173333145
2011-03-01,NFP,226.0,219.0,7.0
2011-04-01,CPI,3.0772344447868694,2.619241510354109,2.619241510354109
2011-04-01,NFP,315.0,226.0,219.0
2011-05-01,NFP,107.0,315.0,226.0
2011-05-01,CPI,3.4589718808964998,3.0772344447868694,3.0772344447868694
2011-06-01,NFP,227.0,107.0,315.0
2011-06-01,CPI,3.5023181506360412,3.4589718808964998,3.4589718808964998
2011-07-01,NFP,62.0,227.0,107.0
2011-07-01,CPI,3.5798809769996165,3.5023181506360412,3.5023181506360412
2011-08-01,NFP,132.0,62.0,227.0
2011-08-01,CPI,3.75499603070808,3.5798809769996165,3.5798809769996165
2011-09-01,NFP,219.0,132.0,62.0
2011-09-01,CPI,3.812621692818685,3.75499603070808,3.75499603070808
2011-10-01,NFP,209.0,219.0,132.0
2011-10-01,CPI,3.5222681306640524,3.812621692818685,3.812621692818685
2011-11-01,NFP,137.0,209.0,219.0
2011-11-01,CPI,3.451432214581729,3.5222681306640524,3.5222681306640524
2011-12-01,NFP,198.0,137.0,209.0
2011-12-01,CPI,3.062066838419386,3.451432214581729,3.451432214581729
2012-01-01,CPI,3.0087663379855023,3.062066838419386,3.062066838419386
2012-01-01,NFP,357.0,198.0,137.0
2012-02-01,NFP,263.0,357.0,198.0
2012-02-01,CPI,2.8981784423473878,3.0087663379855023,3.0087663379855023
2012-03-01,NFP,240.0,263.0,357.0
2012-03-01,CPI,2.5828752813320977,2.8981784423473878,2.8981784423473878
2012-04-01,CPI,2.2731633741348567,2.5828752813320977,2.5828752813320977
2012-04-01,NFP,77.0,240.0,263.0
2012-05-01,CPI,1.7379429374660749,2.2731633741348567,2.2731633741348567
2012-05-01,NFP,108.0,77.0,240.0
2012-06-01,NFP,79.0,108.0,77.0
