date,type,rating,prediction,confidence,returns,pnl,fold,exit_date,pnl_net
2015-07-01,CPI,5.0,1,0.8183898,6.490342354087635,6.490342354087635,2,2015-07-03,6.300342354087634
2015-09-01,CPI,-5.0,0,0.8507652,-1.0756671782088842,1.0756671782088842,2,2015-09-03,0.8856671782088843
2015-10-01,CPI,5.0,0,0.8873346,-2.110759714490871,2.110759714490871,2,2015-10-03,1.9207597144908712
2016-11-01,CPI,5.0,1,0.9607831,-1.0797109016146538,-1.0797109016146538,3,2016-11-03,-1.2697109016146537
2018-03-01,CPI,3.0,0,0.8595269,-3.148747195891313,3.148747195891313,3,2018-03-03,2.958747195891313
2018-04-01,CPI,4.0,0,0.88886523,-3.0056173275067595,3.0056173275067595,3,2018-04-03,2.8156173275067595
2019-01-01,CPI,-5.0,0,0.6117965,-0.0508220904398382,0.0508220904398382,3,2019-01-03,-0.1391779095601618
2019-02-01,CPI,-5.0,0,0.9338909,-0.0522646821015809,0.0522646821015809,3,2019-02-03,-0.13773531789841909
2019-06-01,CPI,-3.0,1,0.9787339,-5.014048754688572,-5.014048754688572,3,2019-06-03,-5.204048754688572
2019-08-01,CPI,-2.0,1,0.908351,8.096878329443184,8.096878329443184,3,2019-08-03,7.906878329443184
2019-09-01,CPI,-3.0,1,0.732666,-4.849233748173999,-4.849233748173999,3,2019-09-03,-5.0392337481739995
2019-10-01,CPI,-2.0,1,0.87955064,3.358094806762254,3.358094806762254,3,2019-10-03,3.168094806762254
2020-03-01,CPI,-5.0,1,0.9529479,1.4103192032327696,1.4103192032327696,3,2020-03-03,1.2203192032327697
2020-04-01,CPI,-5.0,1,0.7084256,2.694056723008728,2.694056723008728,3,2020-04-03,2.504056723008728
2020-05-01,CPI,-5.0,0,0.8399129,-3.235290846578668,3.235290846578668,3,2020-05-03,3.045290846578668
2020-06-01,NFP,5.0,0,0.90165067,-5.108190286116229,5.108190286116229,1,2020-06-03,4.9181902861162285
2020-07-01,NFP,5.0,0,0.81876796,-1.0874918434423446,1.0874918434423446,1,2020-07-03,0.8974918434423447
2020-09-01,CPI,5.0,1,0.7080618,3.8451954919149753,3.8451954919149753,4,2020-09-03,3.6551954919149754
