label,trades,sharpe,avg_ret,win_rate,total_ret,max_dd,avg_mult
ULTIMATE v2.0 (Simple Stop),28,1.1471524157592148,3.6820023228809684,85.71428571428571,103.0960650406671,-1.81666666666667,1.5357142857142858
VIX P70 + Strong,28,0.9494101729496361,2.8050715206941943,57.14285714285714,57.88701772021096,-5.669430897216422,1.0
Pos Sizing + Scaled Costs,53,0.8906651660503908,2.7029312050560668,73.58490566037736,143.25535386797156,-11.702937831437765,1.408805031446541
VIX P70,30,0.8852099314394131,2.4675000623303154,53.333333333333336,55.226957965138276,-9.756982461137873,1.0
Baseline,53,0.8415555510500646,1.736237946035467,73.58490566037736,92.02061113987979,-10.516982461137857,1.0
Rating >= 3,47,0.8267101553355772,1.7668605335406364,68.08510638297872,89.24955593578629,-10.520195730321152,1.0
OHLC Stop 1.5%,53,-0.3498560459600688,-0.5657957564399523,18.867924528301888,-29.98717509131747,-48.328930972484656,1.0
ULTIMATE v2.0,28,-1.1254430273823468,-1.3344339627501693,7.142857142857142,-37.36415095700474,-37.36415095700474,1.5357142857142858
