date,type,rating,prediction,confidence,returns,pnl,fold,strategy,weighted_pnl,vix,weight
2015-07-01,CPI,5.0,1,0.8183898,6.490307856168085,6.490307856168085,2,Phase3,3.2451539280840427,16.09000015258789,0.5
2015-09-01,CPI,-5.0,0,0.8507652,-1.0757045686829647,1.0757045686829647,2,Phase3,0.8605636549463718,31.399999618530273,0.8
2015-10-01,CPI,5.0,0,0.8873346,-2.110785965561183,2.110785965561183,2,Phase3,1.6886287724489464,22.549999237060547,0.8
2016-11-01,CPI,5.0,1,0.9607831,-1.0797483011532434,-1.0797483011532434,3,Phase3,-0.5398741505766217,18.559999465942383,0.5
2018-03-01,CPI,3.0,0,0.8595269,-3.1487661826175977,3.1487661826175977,3,Phase3,2.519012946094078,22.469999313354492,0.8
2018-04-01,CPI,4.0,0,0.7470411,-3.0056351411834,3.0056351411834,1,Phase4.5,1.5028175705917,15.0,0.5
2018-04-01,CPI,4.0,0,0.88886523,-3.005599237824126,3.005599237824126,3,Phase3,1.502799618912063,15.0,0.5
2018-07-01,GDP,-5.0,1,0.87959725,2.431455795485581,2.431455795485581,1,Phase4.5,1.2157278977427906,15.0,0.5
2018-07-01,PMI,-5.0,1,0.87959725,2.431455795485581,2.431455795485581,1,Phase4.5,1.2157278977427906,15.0,0.5
2018-07-01,NFP,-5.0,1,0.87959725,2.431455795485581,2.431455795485581,1,Phase4.5,1.2157278977427906,15.0,0.5
2018-11-01,RETAIL,5.0,0,0.8801309,-2.6598894937601205,2.6598894937601205,1,Phase4.5,1.3299447468800603,19.34000015258789,0.5
2018-12-01,NFP,4.0,0,0.6917143,5.990508222540471,-5.990508222540471,1,Phase4.5,-2.9952541112702353,15.0,0.5
2019-01-01,GDP,-4.0,0,0.8915881,-0.0508220904398382,0.0508220904398382,1,Phase4.5,0.0254110452199191,15.0,0.5
2019-01-01,CPI,-5.0,0,0.6117965,-0.0507859768926063,0.0507859768926063,3,Phase3,0.02539298844630315,15.0,0.5
2019-01-01,CPI,-5.0,0,0.8915881,-0.0508220904398382,0.0508220904398382,1,Phase4.5,0.0254110452199191,15.0,0.5
2019-02-01,PMI,-5.0,1,0.7228787,-0.0522925565987018,-0.0522925565987018,1,Phase4.5,-0.0261462782993509,16.139999389648438,0.5
2019-02-01,CPI,-5.0,1,0.7060458,-0.0522925565987018,-0.0522925565987018,1,Phase4.5,-0.0261462782993509,16.139999389648438,0.5
2019-02-01,NFP,-5.0,1,0.7228787,-0.0522925565987018,-0.0522925565987018,1,Phase4.5,-0.0261462782993509,16.139999389648438,0.5
2019-02-01,CPI,-5.0,0,0.9338909,-0.0522925565987018,0.0522925565987018,3,Phase3,0.0261462782993509,16.139999389648438,0.5
2019-06-01,RETAIL,-5.0,1,0.8103926,-5.01405621576888,-5.01405621576888,1,Phase4.5,-2.50702810788444,15.0,0.5
2019-06-01,CPI,-3.0,1,0.9787339,-5.014042006088563,-5.014042006088563,3,Phase3,-2.5070210030442817,15.0,0.5
2019-06-01,CPI,-3.0,1,0.7973856,-5.01405621576888,-5.01405621576888,1,Phase4.5,-2.50702810788444,15.0,0.5
2019-08-01,CPI,-2.0,1,0.838137,8.096906145889356,8.096906145889356,1,Phase4.5,4.048453072944678,17.8700008392334,0.5
2019-08-01,CPI,-2.0,1,0.908351,8.096863880066442,8.096863880066442,3,Phase3,4.048431940033221,17.8700008392334,0.5
2019-09-01,RETAIL,-5.0,1,0.8519911,-4.849223301944504,-4.849223301944504,1,Phase4.5,-2.424611650972252,15.0,0.5
2019-09-01,CPI,-3.0,1,0.8412788,-4.849223301944504,-4.849223301944504,1,Phase4.5,-2.424611650972252,15.0,0.5
2019-09-01,CPI,-3.0,1,0.732666,-4.849212855715006,-4.849212855715006,3,Phase3,-2.424606427857503,15.0,0.5
2019-09-01,PMI,-5.0,1,0.8519911,-4.849223301944504,-4.849223301944504,1,Phase4.5,-2.424611650972252,15.0,0.5
2019-10-01,CPI,-2.0,1,0.87955064,3.3581187239565544,3.3581187239565544,3,Phase3,1.6790593619782772,18.559999465942383,0.5
2019-10-01,CPI,-2.0,1,0.8836593,3.358095189085049,3.358095189085049,1,Phase4.5,1.6790475945425245,18.559999465942383,0.5
2019-10-01,PMI,-5.0,1,0.8918789,3.358095189085049,3.358095189085049,1,Phase4.5,1.6790475945425245,18.559999465942383,0.5
2019-10-01,GDP,-3.0,1,0.8836593,3.358095189085049,3.358095189085049,1,Phase4.5,1.6790475945425245,18.559999465942383,0.5
2019-10-01,NFP,-4.0,1,0.8918789,3.358095189085049,3.358095189085049,1,Phase4.5,1.6790475945425245,18.559999465942383,0.5
2020-02-01,RETAIL,-5.0,1,0.80910015,-7.2032539698897775,-7.2032539698897775,1,Phase4.5,-3.6016269849448888,15.0,0.5
2020-03-01,CPI,-5.0,0,0.805991,1.4103474300648924,-1.4103474300648924,1,Phase4.5,-0.7051737150324462,15.0,0.5
2020-03-01,NFP,-5.0,0,0.7927592,1.4103474300648924,-1.4103474300648924,1,Phase4.5,-0.7051737150324462,15.0,0.5
2020-03-01,CPI,-5.0,1,0.9529479,1.4103474300648924,1.4103474300648924,3,Phase3,0.7051737150324462,15.0,0.5
2020-03-01,PMI,-5.0,0,0.7927592,1.4103474300648924,-1.4103474300648924,1,Phase4.5,-0.7051737150324462,15.0,0.5
2020-03-01,RETAIL,-5.0,0,0.7927592,1.4103474300648924,-1.4103474300648924,1,Phase4.5,-0.7051737150324462,15.0,0.5
2020-04-01,CPI,-5.0,1,0.7084256,2.6940974537842592,2.6940974537842592,3,Phase3,2.1552779630274075,57.060001373291016,0.8
2020-04-01,CPI,-5.0,0,0.74270225,2.6940729721221333,-2.6940729721221333,2,Phase4.5,-0.5388145944244266,57.060001373291016,0.19999999999999996
2020-04-01,RETAIL,-5.0,1,0.9196464,2.6940729721221333,2.6940729721221333,2,Phase4.5,0.5388145944244266,57.060001373291016,0.19999999999999996
2020-04-01,PMI,-5.0,1,0.9196464,2.6940729721221333,2.6940729721221333,2,Phase4.5,0.5388145944244266,57.060001373291016,0.19999999999999996
