trades,avg_pnl,total_pnl,win_rate,sharpe,max_dd,volatility,allocation
53,1.9262361540318682,102.09051616368902,77.35849056603774,3.142909967815143,-10.65812391589428,4.419562312083987,100% Phase 3
125,0.8931473448297652,111.64341810372065,60.0,1.3936213797241557,-44.550354676302305,4.621468348836093,100% Phase 4.5
178,0.5896426221668455,104.9563867456985,65.1685393258427,2.026151358837483,-17.178471069802825,2.098546783436159,70/30 P3/P4.5
178,0.6003762198522743,106.86696713370483,65.1685393258427,1.892857220687385,-24.999009243088395,2.287216617913227,50/50 Equal
178,0.611109817537703,108.77754752171114,65.1685393258427,1.5729838410813504,-32.819547416373936,2.8015389917253164,30/70 P3/P4.5
